key,day,netFlow,price,realTarget,lowerTargetCushion,upperTargetCushion,lowerTargetWall,upperTargetWall,liqUSD,liqOHM,poolK,reservesUSD,reserveChange,reservesIN,reservesOUT,tradedOHM,treasury,supply,marketcap,floatingSupply,floatingMarketcap,liqRatio_liqTreasury,liqRatio_liqReserves,reserveRatio,liqFloatingMCRatio,floatingMCTreasuryPremium,cumPurchasedOHM,cumBurntOHM,bidCapacity,askCapacity,bidCapacityCushion,askCapacityCushion,bidCapacityTargetCushion,askCapacityTargetCushion,bidCapacityTarget,askCapacityTarget,askCount,bidCount,marketDemand,marketSupply,netTotal,gohm7dVolatility
449_1196,2.0,-1358957.3417162946,28.73218768113399,30.0,27.0,33.0,23.400000000000002,36.6,24466042.658283707,851520.35514331888,20833333333333.332,249175000.0,99.67,-825000.0,825000.0000000014,-28093.624044077918,273641042.65828371,25100000.0,721177910.79646313,24248479.64485668,696711868.13817942,0.089409258277225276,0.0981881916656314,10.184524055656151,0.035116443076625384,2.546079569679963,28093.624044077918,0.0,22500000.0,8729508.1967213117,10125000.000000002,3928278.6885245908,10125000.000000002,3928278.6885245908,22500000.0,8729508.1967213117,7.0,7.0,0.011728916723198811,-0.01746602597853026,-0.0057371092553314493,0.0
449_1196,3.0,-144558.96908653248,30.346018883490153,30.0,27.0,33.0,23.400000000000002,36.6,25143761.189197175,828568.69251065806,20833333333333.332,248352722.5,99.67,-822277.5,822277.50000000093,-27836.914754700028,273496483.68919718,25200400.0,764731814.27150524,24371831.307489343,739588053.082308,0.091934495281375081,0.10124214035623134,9.87730994703779,0.033996981271409141,2.7041958386667222,55930.538798777947,0.0,22425750.0,8700700.81967213,10091587.500000002,3915315.3688524589,10091587.500000002,3915315.3688524589,22425750.0,8700700.81967213,7.0,7.0,0.0082715951036844131,-0.0060123671958942143,0.0022592279077901989,0.0
449_1196,4.0,-229686.42885921896,31.786567825774007,30.0,27.0,33.0,23.400000000000002,36.6,25733638.744587958,809575.8839279887,20833333333333.332,247533158.51575,99.67,-819563.98425,819563.98425000161,-26381.131952061543,273266797.26033795,25301201.6,804238360.73198187,24491625.716072012,778504721.98739386,0.0941703822146817,0.1039603699920089,9.6190500291300118,0.033055212149380717,2.8488814952726287,82311.67075083949,0.0,22351745.025,8671988.5069672111,10058285.26125,3902394.8281352455,10058285.26125,3902394.8281352455,22351745.025,8671988.5069672111,7.0,7.0,0.012988109329604132,-0.016050692275568143,-0.0030625829459640114,0.0
449_1196,5.0,3141698.4700331725,36.599999999999959,30.0,27.0,33.0,23.400000000000002,36.6,27613402.542968135,754464.55035432149,20833333333333.332,248795093.187403,100.50980429418821,-816859.423101975,-1261934.671652995,36905.922077212039,276408495.73037112,25402406.406400003,929728074.474239,24647941.856045682,902114671.931271,0.09990070120675397,0.1109885335325667,9.0099397493757856,0.030609636892228603,3.2637009566133561,45405.748673627451,0.0,22277984.2664175,8615190.8541050535,10025092.919887876,3889516.925202399,10025092.919887876,3889516.925202399,22277984.2664175,8643370.9448942188,7.0,7.0,0.014804217325467411,-0.0088061459404238564,0.005998071385043555,0.0
449_1196,6.0,-1908094.0384620423,33.000000000000021,30.0,27.0,33.0,23.400000000000002,36.6,26325102.089070812,797730.36633547861,21000333333333.332,248175299.60283828,99.750881909838213,-821023.80751842982,619793.58456471888,-17810.160475997673,274500401.69190907,25560813.684887759,843506851.60129666,24763083.318552282,817181749.51222587,0.095901870914627318,0.10607462600508429,9.4273252488495114,0.032214500757982191,2.9769783376470462,63215.90914962512,0.0,22391558.386866268,8609092.9685610011,10076201.274089823,3883419.0396583471,10076201.274089823,3909345.8495102585,22391558.386866268,8687435.2211339064,6.0,7.0,0.018338975670754289,-0.011624946293066566,0.0067140293776877229,0.0
449_1196,7.0,-278362.65339699015,32.999999999999972,30.0,27.0,33.0,23.400000000000002,36.6,26325102.089070793,797730.36633547919,21000333333333.332,247896936.94944131,99.88783627788807,-818978.48868936626,278362.65339697152,-8435.2319211203485,274222039.03851211,25669154.825171363,847082109.23065424,24871424.458835885,820757007.14158344,0.095999220855380124,0.10619373685298826,9.41675120995481,0.032074172818520479,2.9930380870164677,71651.141070745463,0.0,22335776.964255445,8592710.6705218367,10051099.633914951,3867036.7416191837,10051099.633914951,3899606.96179214,22335776.964255445,8665793.2484269757,5.0,7.0,0.0098464768389790215,-0.0089835821586531639,0.00086289468032585762,0.0
449_1196,8.0,-982078.8191012051,32.017837459380942,26.24412906506635,23.619716158559715,28.868541971572988,20.470420670751754,32.017837459380949,25930392.578198392,809873.32798770943,21000333333333.332,247309567.64121252,99.763059069847017,-818059.89193315629,587369.3082288038,-18067.943542285775,273239960.2194109,25788213.742511213,825682835.975498,24978340.414523505,799752443.39729953,0.094899708510337813,0.10484993696571107,9.5374401639080482,0.032423023889802283,2.9269234366565589,89719.084613031242,0.0,22310724.325449716,8585505.606032487,10039825.946452374,3867036.7416191837,10039825.946452374,3895233.0174760567,22310724.325449716,8656073.3721690141,5.0,7.0,0.006035103195767921,-0.0050689033761652505,0.00096619981960267051,0.058633388611359576
449_1196,9.0,729270.9079931879,33.195289250897993,27.20925348434259,24.488328135908333,29.93017883277685,21.223217717787222,33.195289250897957,26402881.270143129,795380.3646831871,21000333333333.332,247566349.85726097,100.10383027979773,-816121.57321600127,-256782.21604845091,7875.169586308969,273969231.12740409,25898571.661970608,859710577.5042243,25103191.297287419,833307696.23408115,0.0963717026232956,0.10664971748125787,9.37648991124365,0.031684432280493904,3.04161052248443,81843.915026722272,0.0,22257861.087709125,8553184.640814947,10016037.489469107,3867036.7416191837,10016037.489469107,3925168.1850887248,22257861.087709125,8722595.9668638315,4.0,7.0,0.013731054809995622,-0.015830060256759405,-0.0020990054467637832,0.047543069699048326
449_1196,10.0,-3591199.1472899639,26.374500563663489,27.933096798799763,25.139787118919788,30.726406478679742,21.787815503063815,34.078378094535708,23628651.077382125,895889.991180938,21168672005333.332,246749380.902732,99.67,-816968.95452896121,816968.95452895993,-27428.968847201028,270378031.98011416,26034486.913836032,686646589.78365815,25138596.922655094,663017938.706276,0.087391164527449369,0.0957597177789738,10.442804377391059,0.035638026813404014,2.4521886406623445,109272.8838739233,0.0,22280971.487153485,8706969.0453363713,10026437.169219069,3918136.0704013677,10026437.169219069,3918136.0704013677,22280971.487153485,8706969.0453363713,3.0,7.0,0.015129538409334793,-0.019296298467092153,-0.00416676005775736,0.093919660450851775
449_1196,11.0,-1512491.9157173163,25.548261184977903,28.386956872197672,25.548261184977907,31.225652559417441,22.141826360314184,34.63208738408116,23255596.344350878,910261.413720982,21168672005333.332,245609943.72004595,99.538220854489111,-814272.95697901561,1139437.1826860695,-43889.698633601052,268865540.06439686,26138624.861491375,667796414.97753847,25228363.447770394,644540818.63318765,0.086495265770320934,0.09468507663866553,10.561326404330551,0.036080874433471355,2.3972607961541357,153162.58250752435,0.0,21955807.261446431,8660900.0991114844,9701272.943512015,3897405.0446001687,9993349.9265606478,3897405.0446001687,22207444.28124588,8660900.0991114844,3.0,7.0,0.0091787372735530857,-0.019747565514160549,-0.010568828240607463,0.10667118289379993
